ZIP_CODE,DENSITY,sex_ratio,MEDAGE
2724,7135,-0.115147515,37.7
2725,1289.4,-0.182149898,46.5
2726,2378.3,-0.088235118,45.1
2738,348.9,-0.114673493,46.7
2739,360.4,-0.05350938,47.6
2740,7223.3,-0.10547723,37.9
2741,0,NA,0
2742,0,NA,0
2743,565,-0.03847399,43.2
2744,8860.4,-0.03659633,34.1
2745,2158.7,-0.096516764,39.8
2746,7441.6,-0.034087825,32
2747,570.1,0.058314087,35.5
2748,478.5,-0.089747038,47.2
2760,1456.2,-0.048193869,38.7
2761,0,NA,0
2762,788.7,-0.04189561,40.2
2763,1683.4,-0.077475312,37.9
2764,350.3,0.005298805,40.8
2766,694.3,-0.067811913,37.8
2767,676.3,-0.050211791,40.7
2768,0,NA,0
2769,260.6,-0.003505554,42.9
2770,161,0.015166536,43
2771,758.8,-0.058556167,43.4
2777,710.7,-0.043681838,44.2
2779,397.2,-0.027991649,39.4
2780,1346.6,-0.090098566,39.3
2790,312.8,-0.053299028,45.4
2791,0,NA,0
2801,0,NA,0
2802,1347.7,-0.24224921,43.4
2804,233.4,-0.029323089,42.4
2806,1981.5,-0.085210884,43.9
2807,0,NA,0
2808,350.9,-0.014134511,38.2
2809,2329.5,-0.063712463,40.2
2812,188.5,-0.011347639,40.2
2813,206.5,0.001522457,47
2814,165.8,0.022504466,44.4
2815,138,-0.045670037,41.1
2816,848.7,-0.063356777,42.2
2817,124.4,-0.008753501,41
2818,849.6,-0.093181387,45.3
2822,115.3,0.004535155,43.7
2823,0,NA,0
2824,0,NA,0
2825,99.3,0.013355189,44
2826,0,NA,0
2827,108.7,0.005347606,42.1
2828,1121.4,-0.127406993,47
2829,0,NA,0
2830,352.4,-0.022840412,42
2831,273.9,-0.009992195,43.5
2832,178.3,-0.023784905,42.6
2833,125,0,44.6
2835,514.7,-0.012846571,49.9
2836,210.8,-0.03509132,40.2
2837,171.2,-0.040197883,49.9
2838,3769.6,-0.159506879,37.3
2839,361.7,-0.009360443,43.3
2840,2038.1,-0.041915801,36.8
2841,0,NA,0
2842,1257.5,-0.076596676,42.5
2852,627.2,-0.059885533,44.1
2857,218.9,-0.031895583,46
2858,279.6,0.026404174,41.5
2859,219.5,0.003993471,41.6
2860,7732.7,-0.090089372,34.9
2861,6382.2,-0.070922847,39.6
2862,0,NA,0
2863,13943.9,0.016210558,30.5
2864,1264.2,-0.069307153,42.1
2865,1016.2,-0.0668285,43.7
2871,1008.7,-0.037258415,44.5
2872,0,NA,0
2873,112.9,-0.022989518,44.7
2874,465.7,-0.033980618,40.5
2875,211.5,-0.013793322,40.1
2876,1917.8,-0.011461444,36.6
2877,336.3,-0.09531018,38.3
2878,545,-0.064085109,46
2879,530.2,-0.07077179,45.2
2880,590.7,0.020970624,39.8
2881,1652.2,-0.208871257,22.1
2882,847.2,-0.039468422,40.3
2883,1410.3,-0.220990698,41.5
2885,1754.9,-0.101900305,44.5
2886,1968.5,-0.102050832,44.8
2887,0,NA,0
2888,3316.8,-0.103887579,43.1
2889,3203.3,-0.054639521,41.7
2891,737.9,-0.087241072,44.9
2892,212.8,-0.037360667,39.1
2893,3274.5,-0.068868632,39.5
2894,145.4,-0.016043125,41.6
2895,4459.9,-0.066078995,36.6
2896,505.2,-0.105000875,45.5
2898,204.6,-0.034486176,39.9
2901,0,NA,0
2902,0,NA,0
2903,7930.6,-0.129819469,25
2904,5714.2,-0.137202914,40.9
2905,6336.6,-0.121222642,30.8
2906,7704,-0.089775629,30.3
2907,11101.2,-0.071047497,29.8
2908,10499.3,-0.089969774,28.6
2909,12366.1,0.001365499,28.8
2910,5855.4,-0.104923739,38.1
2911,5873.1,-0.145169899,39.6
2912,0,NA,0
2914,4035.5,-0.127793307,39.9
2915,3302.5,-0.12623536,44.8
2916,2667.8,-0.128086104,44.2
2917,710.7,-0.04429518,37.3
2918,0,NA,0
2919,1274.7,-0.103045825,43.4
2920,3739.9,0.049257134,41.7
2921,850.4,-0.032971031,42.3
2940,0,NA,0
3031,325.9,-0.031541495,44
3032,195.6,0.023009111,43.1
3033,249.5,0.035955417,38.5
3034,126,0.006025511,43.9
3036,184,0.0062361,39.5
3037,87,-0.023453488,41.9
3038,907.1,-0.015533944,38
3040,75.5,-0.100083459,41.7
3041,0,NA,0
3042,249.3,-0.030703472,39.8
3043,52.8,0.017756722,46.7
3044,254.6,-0.01470266,40.5
3045,402,-0.092684225,40.7
3046,89.4,0.000735024,42.1
3047,71.3,0.047856021,42.2
3048,114.2,0.006131227,42.6
3049,242.1,-0.018143507,46.4
3051,842.9,-0.016737127,39
3052,543.6,0.002968829,39.3
3053,597.7,-0.017203246,39.9
3054,774.6,-0.010699559,40.4
3055,570.1,-0.041374343,38.7
3057,141.5,-0.011587615,42.4
3060,3883.5,-0.048910646,35.4
3061,0,NA,0
3062,2061.9,-0.022541632,41.4
3063,1881,0.000366457,38.7
3064,2987.3,-0.020300359,38.3
3070,122.1,0.007578665,39.7
3071,152.6,0.04672267,36.6
3073,0,NA,0
3076,475.8,-0.007468978,40.1
3077,343.2,0.004537839,39.9
3079,1116.3,-0.019489724,42.8
3082,63.7,0.036089209,44.3
3084,48.4,0.01436577,45
3086,135.6,-0.015808451,42
3087,485.2,-0.026832803,41.5
3101,3857.5,0.384430412,35.9
3102,3292.6,-0.062751573,34.7
3103,4571,0.000707464,34.6
3104,3021.2,-0.046568934,37.2
3105,0,NA,0
3106,360.4,-0.066512285,39.3
3108,0,NA,0
